"Point"
"C-37, 91, catalunya"
"C-31, 210, catalunya"
"N-II, 690, catalunya"
"GI-553, 5, catalunya"
"C-14, 172, catalunya"
"LL-11, 2, catalunya"
"C-12, 29, catalunya"
"B-140, 2, catalunya"
"C-37, 15, catalunya"
"N-240, 83, catalunya"
"B-30, 4, catalunya"
"C-1412b, 2, catalunya"
"GI-555, 5, catalunya"
"C-1415c, 17, catalunya"
"C-17, 38, catalunya"
"C-51, 10, catalunya"
"GIV-5521, 5, catalunya"
"A-2, 496, catalunya"
"C-462, 20, catalunya"
"A-2, 585, catalunya"
"BP-5002, 8, catalunya"
"AP-7, 57, catalunya"
"L-800, 4, catalunya"
"N-340, 1.176, catalunya"
"AP-7, 105, catalunya"
"C-17, 1, catalunya"
"AP-7, 34, catalunya"
"C-26, 264, catalunya"
"C-1413a, 17, catalunya"
"A-7, 1147, catalunya"
"N-240, 40, catalunya"
"N-230, 159, catalunya"
"AP-7, 321, catalunya"
"N-340, 1.189, catalunya"
"GI-643, 1, catalunya"
"L-310, 16, catalunya"
"C-63, 9, catalunya"
"C-25, 204, catalunya"
"C-12, 123, catalunya"
"C-55, 33, catalunya"
"C-25, 98, catalunya"
"C-35, 77, catalunya"
"C-26, 119, catalunya"
"TV-7211, 7, catalunya"
"T-722, 1, catalunya"
"N-340, 1.092, catalunya"
"C-31, 344, catalunya"
"N-420, 833, catalunya"
"N-260, 61, catalunya"
"travessera (zona urbana) BV-1221, 4, catalunya"
"N-260, 202, catalunya"
"C-37, 160, catalunya"
"B-24, 3, catalunya"
"N-240, 85, catalunya"
"AP-7, 66, catalunya"
"C-32, 30, catalunya"
"C-14, 3, catalunya"
"C-14, 128, catalunya"
"C-1412a, 34, catalunya"
"C-31, 346, catalunya"
"N-240, 99, catalunya"
"BP-5002, 12, catalunya"
"A-2, 458, catalunya"
"L-310, 14, catalunya"
"BV-2241, 3, catalunya"
"N-340, 1.088, catalunya"
"C-14, 165, catalunya"
"AP-7, 37, catalunya"
"N-240, 15, catalunya"
"N-340, 1.207, catalunya"
"N-340, 1.209, catalunya"
"A-7, 1.164, catalunya"
"T-330, 12, catalunya"
"N-230, 9, catalunya"
"C-53, 135, catalunya"
"N-260, 184, catalunya"
"TP-2031, 22, catalunya"
"C-35, 60, catalunya"
"N-II, 494, catalunya"
"A-2, 703, catalunya"
"BV-1414, 0, catalunya"
"BP-1417, 7, catalunya"
"C-44, 24, catalunya"
"C-63, 2, catalunya"
"AP-7, 261, catalunya"
"carretera del Poal, 0, catalunya"
"LV-3025, 5, catalunya"
"N-141c, 30, catalunya"
"AP-7, 118, catalunya"
"BV-1037, 1, catalunya"
"BV-5105, 2, catalunya"
"N-240, 42, catalunya"
"N-340, 1091, catalunya"
"C-55, 6, catalunya"
"A-2, 555, catalunya"
"C-17, 26, catalunya"
"B-124, 12, catalunya"
"A-2, 568, catalunya"
"C-13, 95, catalunya"
"N-260, 178, catalunya"
"C-32, 44, catalunya"
"C-424, 63, catalunya"
"N-340, 1101, catalunya"
"T-722, 1, catalunya"
"LV-9225, 5, catalunya"
"C-32, 102, catalunya"
"C-14, 135, catalunya"
"C-25, 120, catalunya"
"A-2, 479, catalunya"
"T-321, 2, catalunya"
"B-10, 3, catalunya"
"N-II, 755, catalunya"
"C-14, 28, catalunya"
"B-224, 18, catalunya"
"N-340, 1.115, catalunya"
"N-340, 1.186, catalunya"
"A-2, 462, catalunya"
"C-51z, 21, catalunya"
"N-420, 850, catalunya"
"N-340, 1.100, catalunya"
"N-II, 746, catalunya"
"C-16, 3, catalunya"
"C-31, 342, catalunya"
"C-53, 127, catalunya"
"C-17z, 73, catalunya"
"C-32 sud, 25, catalunya"
"N-260, 113, catalunya"
"N-340, 1.230, catalunya"
"N-340, 1.172, catalunya"
"N-240, 37, catalunya"
"A-2, 19, catalunya"
"C-66, 44, catalunya"
"AP-7, 282, catalunya"
"C-55, 6, catalunya"
"L-311, 4’8, catalunya"
"C-14, 24, catalunya"
"C-16, 76, catalunya"
"A-2, 530, catalunya"
"N-II,  637, catalunya"
"AP-7, 194, catalunya"
"AP-7, 173, catalunya"
"C-31, 196, catalunya"
"C-55, 35, catalunya"
"TV-3408, 8, catalunya"
"B-151, 4, catalunya"
"C-55, 30, catalunya"
"C-13, 36, catalunya"
"C-14, 118, catalunya"
"AP-7, 0, catalunya"
"N-230, 168, catalunya"
"C-55, 67, catalunya"
"N-340, 1.220, catalunya"
"C-35, 66, catalunya"
"C-44, 14, catalunya"
"L-313, 21, catalunya"
"C-31, 330, catalunya"
"N-240, 71, catalunya"
"A-2, 557, catalunya"
"GIP-6031, 1, catalunya"
"C-55, 64, catalunya"
"C-14, 79, catalunya"
"C-58, 26, catalunya"
"C-66, 22, catalunya"
"C-14z, 19, catalunya"
"C-55, 2, catalunya"
"GI-550, 6, catalunya"
"B-23, 9, catalunya"
"N-340, 1.183, catalunya"
"AP-7, 263, catalunya"
"N-IIa, 516, catalunya"
"C-246a, 47, catalunya"
"LP-3322, 3, catalunya"
"C-13, 32, catalunya"
"C-14, 39, catalunya"
"TV-7222 (cruïlla C-14z), 2, catalunya"
"C-63, 34, catalunya"
"C-59, 19, catalunya"
"C-14, 130, catalunya"
"N-260, 176, catalunya"
"LV-9047, 6, catalunya"
"AP-7, 51, catalunya"
"AP-7, 139, catalunya"
"N-141C, 24, catalunya"
"C-65, 28, catalunya"
